white,white,white,yellow,yellow,6.8,6.3,6.3,6.6,7
yellow,white,white,white,white,6.9,6.2,6.9,6.8,6.8
white,yellow,white,yellow,white,7,6.6,6.8,7,6.7
white,yellow,yellow,white,yellow,7.1,8,7.5,7.4,7.3
white,yellow,yellow,white,white,7.2,7.1,7.4,7.3,7.1
yellow,yellow,white,yellow,white,7.3,7.4,7.7,7.2,7.4
white,white,yellow,white,yellow,7.4,7.7,8,7.5,7.2
yellow,white,white,white,white,7.5,7.8,7.6,7.9,7.5
yellow,white,white,yellow,white,7.6,7.9,7.2,7.1,7.6
white,white,yellow,white,yellow,7.7,7.5,7.1,7.7,7.9
white,white,white,yellow,yellow,7.8,7.3,7.3,7.6,8
yellow,white,white,white,white,7.9,7.2,7.9,7.8,7.8
white,yellow,white,yellow,white,8,7.6,7.8,8,7.7
white,yellow,yellow,white,yellow,8.1,9,8.5,8.4,8.3
white,yellow,yellow,white,white,8.2,8.1,8.4,8.3,8.1
yellow,yellow,white,yellow,white,8.3,8.4,8.7,8.2,8.4
white,white,yellow,white,yellow,8.4,8.7,9,8.5,8.2
yellow,white,white,white,white,8.5,8.8,8.6,8.9,8.5
yellow,white,white,yellow,white,8.6,8.9,8.2,8.1,8.6
white,white,yellow,white,yellow,8.7,8.5,8.1,8.7,8.9
white,white,white,yellow,yellow,8.8,8.3,8.3,8.6,9
yellow,white,white,white,white,8.9,8.2,8.9,8.8,8.8
white,yellow,white,yellow,white,9,8.6,8.8,9,8.7
white,yellow,yellow,white,yellow,9.1,10,9.5,9.4,9.3
white,yellow,yellow,white,white,9.2,9.1,9.4,9.3,9.1
yellow,yellow,white,yellow,white,9.3,9.4,9.7,9.2,9.4
white,white,yellow,white,yellow,9.4,9.7,10,9.5,9.2
yellow,white,white,white,white,9.5,9.8,9.6,9.9,9.5
yellow,white,white,yellow,white,9.6,9.9,9.2,9.1,9.6
white,white,yellow,white,yellow,9.7,9.5,9.1,9.7,9.9
white,white,white,yellow,yellow,9.8,9.3,9.3,9.6,10
yellow,white,white,white,white,9.9,9.2,9.9,9.8,9.8
white,yellow,white,yellow,white,10,9.6,9.8,10,9.7
